Topic,Question,Difficulty,Link
BFS,Breadth First Search,,https://www.geeksforgeeks.org/breadth-first-search-or-bfs-for-a-graph/
DFS,Depth-First Search,,https://www.geeksforgeeks.org/depth-first-search-or-dfs-for-a-graph/
Path Finding,Find if Path Exists in Graph,Medium,https://leetcode.com/problems/find-if-path-exists-in-graph/
BFS Application,Steps by Knight,Medium,https://www.geeksforgeeks.org/minimum-steps-reach-target-knight/
BFS Application,Rodent Routes,,https://leetcode.com/problems/rotting-oranges/
Cycle Detection,Cycle Detection in Graphs,,https://www.geeksforgeeks.org/detect-cycle-in-a-graph/
Cycle Detection,Cycle Detection in Undirected Graph (BFS),Medium,https://leetcode.com/problems/detect-cycle-in-undirected-graph/
Cycle Detection,Cycle Detection in Directed Graph (DFS),Medium,https://leetcode.com/problems/course-schedule/
Safe States,Eventual Safe States,Medium,https://leetcode.com/problems/find-eventual-safe-states/
Graph Problems,Longest Cycle,,https://leetcode.com/problems/longest-cycle-in-a-graph/
Topological Sort,Topological Sort Introduction,,https://www.geeksforgeeks.org/topological-sorting/
Topological Sort,Topological Sort Using Kahn's Algorithm,Medium,https://leetcode.com/problems/course-schedule-ii/
Topological Sort,Course Schedule II,Medium,https://leetcode.com/problems/course-schedule-ii/
Graph Coloring,Largest Color Value in Directed Graph,Hard,https://leetcode.com/problems/largest-color-value-in-a-directed-graph/
Grid Traversal,Traversal on Grids,,https://www.geeksforgeeks.org/grid-traversal/
Flood Fill,Flood Fill Algorithm,Medium,https://leetcode.com/problems/flood-fill/
Grid Problems,Number of Islands,,https://leetcode.com/problems/number-of-islands/
BFS Application,Rotten Oranges,Medium,https://leetcode.com/problems/rotting-oranges/
BFS Application,Geeks Village and Wells,,https://www.geeksforgeeks.org/minimum-time-required-so-that-all-oranges-become-rotten/
Graph Problems,Number of Operations to Make Network Connected,,https://leetcode.com/problems/number-of-operations-to-make-network-connected/
Shortest Path,Shortest Path Algorithms,,https://www.geeksforgeeks.org/shortest-path-algorithms/
BFS Application,Snakes and Ladders,,https://leetcode.com/problems/snakes-and-ladders/
Dijkstra,Dijkstra's Algorithm Intuition,,https://www.geeksforgeeks.org/problems/implementing-dijkstra-set-1-adjacency-matrix/1
Dijkstra,Dijkstra's Algorithm Code,Medium,https://leetcode.com/problems/network-delay-time/
Path Finding,Path With Minimum Effort,Medium,https://leetcode.com/problems/path-with-minimum-effort/
Shortest Path,Cheapest Flights Within K Stops,Medium,https://leetcode.com/problems/cheapest-flights-within-k-stops/
Bellman-Ford,Bellman-Ford Algorithm Part 1,,https://www.geeksforgeeks.org/bellman-ford-algorithm-dp-23/
Bellman-Ford,Bellman-Ford Algorithm Code,Medium,https://www.geeksforgeeks.org/bellman-ford-algorithm-dp-23/
Floyd-Warshall,Floyd-Warshall Algorithm,,https://www.geeksforgeeks.org/floyd-warshall-algorithm-dp-16/
DSU,Disjoint Union Set Introduction,,https://www.geeksforgeeks.org/disjoint-set-data-structures/
DSU,DSU Optimization Techniques,,https://www.geeksforgeeks.org/disjoint-set-union-find-algorithm-union-rank/
