Topic,Question,Difficulty,Link
Recursion,Height of a Binary Tree,Medium,https://leetcode.com/problems/maximum-depth-of-binary-tree/
Recursion,Sort an Array Using Recursion,Medium,https://www.geeksforgeeks.org/recursive-bubble-sort/
Recursion,Sort a Stack Using Recursion,Medium,https://www.geeksforgeeks.org/sort-a-stack-using-recursion/
Recursion,Delete Middle Element of a Stack,Medium,https://www.geeksforgeeks.org/delete-middle-element-stack/
Recursion,Reverse a Stack Using Recursion,Medium,https://www.geeksforgeeks.org/reverse-a-stack-using-recursion/
Recursion,Kth Symbol in Grammar,Medium,https://leetcode.com/problems/k-th-symbol-in-grammar/
Recursion,Tower of Hanoi,Easy,https://www.geeksforgeeks.org/c-program-for-tower-of-hanoi/
Recursion,Print Subsets (PowerSets),Medium,https://leetcode.com/problems/subsets/
Recursion,Print Unique Subsets,Medium,https://leetcode.com/problems/subsets-ii/
Recursion,Permutation with Spaces,Medium,https://www.geeksforgeeks.org/permute-string-changing-case/
Recursion,Permutation with Case Change,Medium,https://leetcode.com/problems/letter-case-permutation/
Recursion,Letter Case Permutation,Medium,https://leetcode.com/problems/letter-case-permutation/
Recursion,Generate Balanced Parentheses,Medium,https://leetcode.com/problems/generate-parentheses/
Recursion,N-bit Binary Numbers (More 1's than 0's),Medium,https://www.geeksforgeeks.org/print-n-bit-binary-numbers-1s-0s-prefixes/
Recursion,Josephus Problem,Medium,https://www.geeksforgeeks.org/josephus-problem-set-1-a-on-solution/
